dim,deg,parallel_depth,max_cpu,avg_time
2,4,7,14,0.026561594009399413
2,4,7,16,0.02729165554046631
2,4,7,18,0.02657902240753174
2,4,7,20,0.030447864532470705
2,4,7,22,0.02636561393737793
2,4,7,24,0.02735557556152344
2,4,7,26,0.02734532356262207
2,4,7,28,0.027466893196105957
2,4,7,30,0.025200653076171874
2,4,7,32,0.028673291206359863
2,4,7,34,0.026329946517944337
2,4,7,36,0.023462510108947753
2,4,7,38,0.02722771167755127
2,4,7,40,0.028148531913757324
2,4,8,2,0.020403146743774414
2,4,8,4,0.023017048835754395
2,4,8,6,0.028667473793029787
2,4,8,8,0.023331093788146972
2,4,8,10,0.026517534255981447
2,4,8,12,0.02878425121307373
2,4,8,14,0.02689385414123535
2,4,8,16,0.026674842834472655
2,4,8,18,0.02569746971130371
2,4,8,20,0.028847408294677735
2,4,8,22,0.028124523162841798
2,4,8,24,0.028429532051086427
2,4,8,26,0.025815439224243165
2,4,8,28,0.028410458564758302
2,4,8,30,0.027744340896606445
2,4,8,32,0.025551462173461915
2,4,8,34,0.030304956436157226
2,4,8,36,0.02813570499420166
2,4,8,38,0.026336312294006348
2,4,8,40,0.027251362800598145
2,5,0,1,0.009018802642822265
2,5,1,2,0.01695892810821533
2,5,1,4,0.019055891036987304
2,5,1,6,0.02012171745300293
2,5,1,8,0.019110488891601562
2,5,1,10,0.01927025318145752
2,5,1,12,0.019159889221191405
2,5,1,14,0.018729448318481445
2,5,1,16,0.019158244132995605
2,5,1,18,0.019055676460266114
2,5,1,20,0.01899869441986084
2,5,1,22,0.019617486000061034
2,5,1,24,0.020487713813781738
2,5,1,26,0.018522071838378906
2,5,1,28,0.01954174041748047
2,5,1,30,0.018388533592224122
2,5,1,32,0.019425582885742188
2,5,1,34,0.020148849487304686
2,5,1,36,0.0198319673538208
2,5,1,38,0.018517088890075684
2,5,1,40,0.01976332664489746
2,5,2,2,0.015702366828918457
2,5,2,4,0.018527674674987792
2,5,2,6,0.02051866054534912
2,5,2,8,0.023244452476501466
2,5,2,10,0.021471142768859863
2,5,2,12,0.022269082069396973
2,5,2,14,0.02155165672302246
2,5,2,16,0.021097278594970702
2,5,2,18,0.02248084545135498
2,5,2,20,0.022562503814697266
2,5,2,22,0.02459390163421631
2,5,2,24,0.01956775188446045
2,5,2,26,0.021585512161254882
2,5,2,28,0.0220996618270874
2,5,2,30,0.024457049369812012
2,5,2,32,0.020974564552307128
2,5,2,34,0.02226436138153076
2,5,2,36,0.020270729064941408
2,5,2,38,0.022536373138427733
2,5,2,40,0.022902417182922363
2,5,3,2,0.01363372802734375
2,5,3,4,0.020294332504272462
2,5,3,6,0.023186469078063966
2,5,3,8,0.0198469877243042
2,5,3,10,0.023849630355834962
2,5,3,12,0.022519612312316896
2,5,3,14,0.020981502532958985
2,5,3,16,0.02246718406677246
2,5,3,18,0.022879147529602052
2,5,3,20,0.02184925079345703
2,5,3,22,0.02264409065246582
2,5,3,24,0.023763298988342285
2,5,3,26,0.023235297203063963
2,5,3,28,0.022032690048217774
2,5,3,30,0.02328646183013916
2,5,3,32,0.023950695991516113
2,5,3,34,0.022746014595031738
2,5,3,36,0.021100449562072753
2,5,3,38,0.02269749641418457
2,5,3,40,0.022602415084838866
2,5,4,2,0.01803543567657471
2,5,4,4,0.018535661697387695
2,5,4,6,0.02335503101348877
2,5,4,8,0.025174736976623535
2,5,4,10,0.022054624557495118
2,5,4,12,0.02322988510131836
2,5,4,14,0.02172043323516846
2,5,4,16,0.022735333442687987
2,5,4,18,0.024265623092651366
2,5,4,20,0.02335851192474365
2,5,4,22,0.02463862895965576
2,5,4,24,0.024965715408325196
2,5,4,26,0.02412552833557129
2,5,4,28,0.02471010684967041
2,5,4,30,0.025470376014709473
2,5,4,32,0.022414278984069825
2,5,4,34,0.025197052955627443
2,5,4,36,0.024715280532836913
2,5,4,38,0.02426154613494873
2,5,4,40,0.023268413543701173
2,5,5,2,0.015243935585021972
2,5,5,4,0.022944426536560057
2,5,5,6,0.020740962028503417
2,5,5,8,0.02308378219604492
2,5,5,10,0.020267200469970704
2,5,5,12,0.024751973152160645
2,5,5,14,0.024419951438903808
2,5,5,16,0.023569631576538085
2,5,5,18,0.024994444847106934
2,5,5,20,0.022842931747436523
2,5,5,22,0.02250239849090576
2,5,5,24,0.024137139320373535
2,5,5,26,0.025411462783813475
2,5,5,28,0.025111961364746093
2,5,5,30,0.023877811431884766
2,5,5,32,0.023394846916198732
2,5,5,34,0.02463564872741699
2,5,5,36,0.02344019412994385
2,5,5,38,0.023404884338378906
2,5,5,40,0.023426389694213866
2,5,6,2,0.016788291931152343
2,5,6,4,0.020315933227539062
2,5,6,6,0.024869227409362794
2,5,6,8,0.020526719093322755
2,5,6,10,0.02429525852203369
2,5,6,12,0.02359163761138916
2,5,6,14,0.02486758232116699
2,5,6,16,0.024408841133117677
2,5,6,18,0.02480580806732178
2,5,6,20,0.022533392906188963
2,5,6,22,0.024487614631652832
2,5,6,24,0.02278287410736084
2,5,6,26,0.024119114875793456
2,5,6,28,0.019854068756103516
2,5,6,30,0.02261958122253418
2,5,6,32,0.023190975189208984
2,5,6,34,0.023303794860839843
2,5,6,36,0.02355303764343262
2,5,6,38,0.022326087951660155
2,5,6,40,0.02156939506530762
2,5,7,2,0.01645848751068115
2,5,7,4,0.023286652565002442
2,5,7,6,0.022779512405395507
2,5,7,8,0.02179701328277588
2,5,7,10,0.02204141616821289
2,5,7,12,0.02357449531555176
2,5,7,14,0.024152445793151855
2,5,7,16,0.024877500534057618
2,5,7,18,0.024215841293334962
2,5,7,20,0.022496342658996582
2,5,7,22,0.025416970252990723
2,5,7,24,0.022650671005249024
2,5,7,26,0.024110007286071777
2,5,7,28,0.02397947311401367
2,5,7,30,0.025183963775634765
2,5,7,32,0.024170231819152833
2,5,7,34,0.021145391464233398
2,5,7,36,0.024307560920715333
2,5,7,38,0.02132084369659424
2,5,7,40,0.022281837463378907
2,5,8,2,0.017239594459533693
2,5,8,4,0.019025087356567383
2,5,8,6,0.02375640869140625
2,5,8,8,0.022373485565185546
2,5,8,10,0.022046327590942383
2,5,8,12,0.02308833599090576
2,5,8,14,0.022230768203735353
2,5,8,16,0.023359847068786622
2,5,8,18,0.02160313129425049
2,5,8,20,0.022972798347473143
2,5,8,22,0.022036242485046386
2,5,8,24,0.021065783500671387
2,5,8,26,0.024379372596740723
2,5,8,28,0.0243776798248291
2,5,8,30,0.023951387405395506
2,5,8,32,0.02352423667907715
2,5,8,34,0.023404264450073244
2,5,8,36,0.023468208312988282
2,5,8,38,0.023671221733093262
2,5,8,40,0.020378923416137694
2,6,0,1,0.017026257514953614
2,6,1,2,0.02403535842895508
2,6,1,4,0.030420589447021484
2,6,1,6,0.029269814491271973
2,6,1,8,0.029644083976745606
2,6,1,10,0.030008864402770997
2,6,1,12,0.03152267932891846
2,6,1,14,0.029608726501464844
2,6,1,16,0.02752213478088379
2,6,1,18,0.029033946990966796
2,6,1,20,0.0273972749710083
2,6,1,22,0.02697904109954834
2,6,1,24,0.027164006233215333
2,6,1,26,0.02949247360229492
2,6,1,28,0.028226041793823244
2,6,1,30,0.030656194686889647
2,6,1,32,0.02725958824157715
2,6,1,34,0.030241990089416505
2,6,1,36,0.030190467834472656
2,6,1,38,0.03088390827178955
2,6,1,40,0.02732710838317871
2,6,2,2,0.021581220626831054
2,6,2,4,0.02330937385559082
2,6,2,6,0.02647092342376709
2,6,2,8,0.03060431480407715
2,6,2,10,0.029313278198242188
2,6,2,12,0.029224705696105958
2,6,2,14,0.03170821666717529
2,6,2,16,0.02751169204711914
2,6,2,18,0.029172778129577637
2,6,2,20,0.028340458869934082
2,6,2,22,0.028737831115722656
2,6,2,24,0.028652238845825195
2,6,2,26,0.02800929546356201
2,6,2,28,0.02904465198516846
2,6,2,30,0.02888455390930176
2,6,2,32,0.030974531173706056
2,6,2,34,0.031027603149414062
2,6,2,36,0.03092634677886963
2,6,2,38,0.030641961097717284
2,6,2,40,0.03240182399749756
2,6,3,2,0.02338275909423828
2,6,3,4,0.022878336906433105
2,6,3,6,0.024749398231506348
2,6,3,8,0.03033125400543213
2,6,3,10,0.03014369010925293
2,6,3,12,0.03269548416137695
2,6,3,14,0.03254611492156982
2,6,3,16,0.031712460517883304
2,6,3,18,0.029988741874694823
2,6,3,20,0.0323833703994751
2,6,3,22,0.03185453414916992
2,6,3,24,0.032344388961791995
2,6,3,26,0.028565025329589842
2,6,3,28,0.032997727394104004
2,6,3,30,0.03269615173339844
2,6,3,32,0.0306804895401001
2,6,3,34,0.03137142658233642
2,6,3,36,0.030055761337280273
2,6,3,38,0.03191163539886475
2,6,3,40,0.03167171478271484
2,6,4,2,0.021703004837036133
2,6,4,4,0.021789360046386718
2,6,4,6,0.026270174980163576
2,6,4,8,0.027812957763671875
2,6,4,10,0.03153705596923828
2,6,4,12,0.03117671012878418
2,6,4,14,0.031958723068237306
2,6,4,16,0.03138444423675537
2,6,4,18,0.03222205638885498
2,6,4,20,0.03309288024902344
2,6,4,22,0.03178224563598633
2,6,4,24,0.031213951110839844
2,6,4,26,0.0315854549407959
2,6,4,28,0.03244826793670654
2,6,4,30,0.03299582004547119
2,6,4,32,0.032535767555236815
2,6,4,34,0.03013913631439209
2,6,4,36,0.032958698272705075
2,6,4,38,0.0333315372467041
2,6,4,40,0.029698109626770018
2,6,5,2,0.022224688529968263
2,6,5,4,0.02377805709838867
2,6,5,6,0.027097630500793456
2,6,5,8,0.02938418388366699
2,6,5,10,0.027846264839172363
2,6,5,12,0.03284759521484375
2,6,5,14,0.0321821928024292
2,6,5,16,0.033221983909606935
2,6,5,18,0.03035690784454346
2,6,5,20,0.030956721305847167
2,6,5,22,0.033309125900268556
2,6,5,24,0.03033125400543213
2,6,5,26,0.03378438949584961
2,6,5,28,0.03210358619689942
2,6,5,30,0.031168174743652344
2,6,5,32,0.029187560081481934
2,6,5,34,0.033856892585754396
2,6,5,36,0.03381085395812988
2,6,5,38,0.031230902671813963
2,6,5,40,0.030294203758239747
2,6,6,2,0.021688008308410646
2,6,6,4,0.025687575340270996
2,6,6,6,0.028435564041137694
2,6,6,8,0.030255603790283202
2,6,6,10,0.030186843872070313
2,6,6,12,0.03190114498138428
2,6,6,14,0.029224467277526856
2,6,6,16,0.030294394493103026
2,6,6,18,0.03201580047607422
2,6,6,20,0.031094574928283693
2,6,6,22,0.0310030460357666
2,6,6,24,0.03463339805603027
2,6,6,26,0.033334541320800784
2,6,6,28,0.031027746200561524
2,6,6,30,0.029993414878845215
2,6,6,32,0.029263734817504883
2,6,6,34,0.03046388626098633
2,6,6,36,0.03281834125518799
2,6,6,38,0.03209099769592285
2,6,6,40,0.03238940238952637
2,6,7,2,0.024059343338012695
2,6,7,4,0.025765872001647948
2,6,7,6,0.026512503623962402
2,6,7,8,0.03075854778289795
2,6,7,10,0.03213636875152588
2,6,7,12,0.029909777641296386
2,6,7,14,0.032056212425231934
2,6,7,16,0.03234248161315918
2,6,7,18,0.03188269138336182
2,6,7,20,0.03098917007446289
2,6,7,22,0.030671119689941406
2,6,7,24,0.029976844787597656
2,6,7,26,0.03194999694824219
2,6,7,28,0.029983091354370116
